Bill of Materials,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Item Name,Purpose,Item Source,Quantity,Unit Cost (INR),Unit Cost (USD),Cost,Link
36V 500W 8-Inch Brushless Scooter Hub Motor,Scooter propulsion + back wheel,Robu,1," ? 9,658.88 ", $109.76 ,$109.76,https://robu.in/product/350w-36v-hub-motor-for-electric-bike-steel-colour
Brushless Motor Controller 36V 500W 25A,Scooter motion control,Amazon India,1," ? 3,271.84 ", $37.18 ,$37.18,https://amzn.in/d/8iIHAk1
36V 10AH Battery,Scooter power,Robu,1," ? 8,792.08 ", $99.91 ,$99.91,https://robu.in/product/li-ion-36v-10ah-10s3p-ebike-battery-pack-with-bms
8-Inch Pneumatic Scooter Wheel,Scooter front wheel (free-spinning),Amazon India,1," ? 2,429.68 ", $27.61 ,$27.61,https://amzn.in/d/2sbo4Lm
8mm x 150mm Steel Rod,Axle for scooter front wheel,Amazon India,1," ? 1,792.56 ", $20.37 ,$20.37,https://amzn.in/d/8MleLio
Throttle Accessory,To control motor acceleration,Robu,1, ? 831.60 , $9.45 ,$9.45,https://robu.in/product/24v-electric-bike-control-panel-waterproof-plastic-easy-operation-24v-36v-electric-scooter-thumb-throttle
14-Inch Suspension Fork,For suspension + to connect handlebars to front wheel,local vendor :),1," ? 3,300.00 ", $37.50 ,$37.50,local vendor :)
37mm Headset Bearings,To make turning handlebars smoother,Amazon India,1, ? 935.44 , $10.63 ,$10.63,https://amzn.in/d/iaGzD3K
4-Line I2C LCD Display (3),"For visual feedback of speed, battery, other telemetry, etc.",Think robotics,1," ? 1,572.56 ", $17.87 ,$17.87,https://thinkrobotics.com/products/1-47inch-lcd-display-module-with-172x320-rounded-corners
Flex Seal,Waterproofing housing of the scooter for rain,Amazon India,1," ? 1,400.96 ", $15.92 ,$15.92,https://amzn.in/d/gnziKod
Variable PVC Pipe,PVC pipe for handlebars and main steering column,local vendor :),1," ? 1,870.00 ", $21.25 ,$21.25,local vendor :)
Variable Plywood,Plywood for base of the scooter + housing of battery and controller,local vendor :),1," ? 1,870.00 ", $21.25 ,$21.25,local vendor :)
 ,For wiring electronic components to the microcontroller,local vendor :),1, ? 935.44 , $10.63 ,$10.63,local vendor :)
,,,, ? -   ,,,
TOTAL,,,13," ? 38,661.04 ", $439.33 ,$439.33,
,,,,,,,
,,,,,,,
,,,,,,,
Additional Parts that are not included in the BOM because I own them: ,,,,,,,
Arduino UNO,,,,,,,
"M4 Screws, Nuts, Bolts",,,,,,,
3D Printer Filament,,,,,,,
